Variant,ACC_mean,ACC_std,F1_mean,F1_std,NMI_mean,NMI_std,Iter_mean,Iter_std,Time_mean,Wdev_mean,Zdev_mean
Full,0.997007791400315,0,0.998407456687648,0,0.920578389916816,0,92.2,0.447213595499958,26.1481776,0.288535336078947,0.310791106387466
w/o learnW,0.996392510411202,0,0.998081856845223,0,0.908515203902068,1.24126707662364e-16,62.2,6.61059755241536,17.02405392,0,0.312104509872779
w/o learnZ,0.9966710060168,1.24126707662364e-16,0.998226436448456,0,0.916481014597596,0,57,0,16.08687068,0.168653167324175,0.288675134594813
w/o memory,0.997007791400315,0,0.998407456687648,0,0.920578389916816,0,59,0,17.63044982,0.288541460843101,0.310791190386694
w/o adaptive p,0.997007791400315,0,0.998407456687648,0,0.920578389916816,0,74.6,6.54217089351845,18.88073776,0.288535317982661,0.310791108250433
w/o v,0.996340697275277,1.24126707662364e-16,0.998053781760372,5.99627327320701e-09,0.906564721135693,6.94549816678816e-06,76.2,13.2928552237659,22.05738606,0.0418946809864611,0.308969018613589
w/o kernel,0.997022040012694,2.89644235138439e-06,0.998415039136436,1.53913454839952e-06,0.920894499499682,6.53722213379374e-05,56,0,8.8225545,0.288121371638896,0.310790682467611
