Variant,ACC_mean,ACC_std,F1_mean,F1_std,NMI_mean,NMI_std,Iter_mean,Iter_std,Time_mean,Wdev_mean,Zdev_mean
Full,0.995465055278139,2.89644235143404e-06,0.955519698470535,2.96740903536621e-05,0.878741348119356,6.10382914811945e-05,100,0,28.834954,0.263389473844319,0.29680237396121
w/o learnW,0.994358844826135,1.24126707662364e-16,0.94341583836809,0,0.860980807696875,0,100,0,26.74328546,0,0.294741463985893
w/o learnZ,0.996101061521622,0,0.96280276816609,0,0.891371773624045,0,57,0,16.57392656,0.266792126565783,0.288675134594813
w/o memory,0.995459873964547,1.24126707662364e-16,0.955466615843974,0,0.87863215950417,1.24126707662364e-16,75,0,22.49247438,0.26335397889113,0.296827174290644
w/o adaptive p,0.995459873964547,1.24126707662364e-16,0.955466615843974,0,0.87863215950417,1.24126707662364e-16,100,0,26.3233697,0.263379709087287,0.296809206882131
w/o v,0.992601084189869,1.26252995055955e-05,0.930941091686353,0.000121487034591821,0.821951935125907,0.000266001873376477,100,0,29.13379534,0.0736807634199304,0.296125846643517
w/o kernel,0.995408060828622,0,0.954921732763348,3.13971233347191e-06,0.877622348582632,1.85258781301266e-05,75.4,1.14017542509914,11.29632074,0.261547107048094,0.29694733032579
