Variant,ACC_mean,ACC_std,F1_mean,F1_std,NMI_mean,NMI_std,Iter_mean,Iter_std,Time_mean,Wdev_mean,Zdev_mean
Full,0.969747605261624,1.24126707662364e-16,0.964115940857297,0,0.845727015188606,0,81.6,2.50998007960223,35.99893078,0.0570642745593757,0.376021216895819
w/o learnW,0.971580494944981,1.24126707662364e-16,0.966386165403381,1.24126707662364e-16,0.851413464107513,1.24126707662364e-16,89,1.73205080756888,35.12193454,0,0.375866763757454
w/o learnZ,0.967500210490865,0,0.963829213807584,0,0.842535073389329,1.24126707662364e-16,57,0,23.98567764,0.0885865339776333,0.353553390593274
w/o memory,0.952299531738784,0,0.953311413445536,1.24126707662364e-16,0.80428300850874,0,100,0,45.3236511,0.297985419035499,0.377344350869223
w/o adaptive p,0.969747605261624,1.24126707662364e-16,0.964115940857297,0,0.845727015188606,0,87,1.73205080756888,34.05469484,0.0570639695808957,0.376021224785709
w/o v,0.948895408708493,0.0425502022597491,0.898603825360356,0.145623561922822,0.798830995000243,0.0827101370392377,100,0,44.80273112,0.0233732039436918,0.374601818349612
w/o kernel,0.9697644445308,5.79288470286808e-06,0.964083815175573,9.1488649970444e-06,0.845766298039094,1.43103879983446e-05,52,0,13.2739956,0.0573147337396802,0.376010944486365
