Variant,ACC_mean,ACC_std,F1_mean,F1_std,NMI_mean,NMI_std,Iter_mean,Iter_std,Time_mean,Wdev_mean,Zdev_mean
Full,0.755188114066619,1.73786541085049e-05,0.752019901309606,1.53820794573922e-05,0.660476820676097,6.68069403259746e-06,73,10.3682206766639,31.8584574,0.0135072473818498,0.367017025297525
w/o learnW,0.753835791218969,0,0.750836507680747,0,0.6592566120928,0,91.4,1.94935886896179,35.7530798,0,0.367185067083666
w/o learnZ,0.751316377484602,0,0.748404664081265,0,0.66178392822582,0,55,0,23.21975884,0.0169247533471983,0.353553390593274
w/o memory,0.755150549543073,0,0.751985906062926,0,0.660437766762837,0,90,0,40.8399552,0.01358248362899,0.367020058307543
w/o adaptive p,0.755195886037008,0,0.752026780384667,0,0.660479808373296,0,85.4,1.67332005306815,33.47771746,0.0134928764793046,0.367016812454794
w/o v,0.737826827546454,0.00371396426394212,0.700764913641107,0.0770246465652077,0.625834116674303,0.0361411373932006,100,0,42.6421705,0.0232628616402083,0.364136508639362
w/o kernel,0.755071534510787,8.44450800859581e-06,0.751916952620645,7.57668526260821e-06,0.660442012925899,2.061762999045e-05,52,0,12.83391782,0.0137347075192911,0.36700727230537
