Variant,ACC_mean,ACC_std,F1_mean,F1_std,NMI_mean,NMI_std,Iter_mean,Iter_std,Time_mean,Wdev_mean,Zdev_mean
Full,0.661679652333858,0,0.664982771438413,0,0.394392196501616,0,70,0,31.69000932,0.0540484379689899,0.356114102753267
w/o learnW,0.669924417587969,0,0.677785906932881,0,0.410284309409143,0,55.2,1.30384048104053,23.52007344,0,0.356079136905911
w/o learnZ,0.623383268243081,0,0.618053661915535,0,0.37637087587124,0,54,0,22.83298272,0.0362367170312257,0.353553390593274
w/o memory,0.662120063989223,0,0.665643565823077,0,0.395177389963323,0,100,0,43.18280484,0.0535184794571274,0.356114487301014
w/o adaptive p,0.661679652333858,0,0.664982771438413,0,0.394392196501616,0,54.6,0.894427190999916,20.64647482,0.0540469831845657,0.356113846257862
w/o v,0.802436512716887,0,0.776055410548436,0,0.469030776409908,0,56,0,25.43400562,0.0605634055307724,0.361986798981806
w/o kernel,0.661715921529006,3.54740291507862e-06,0.665008106555665,4.82268620238716e-06,0.394336932047179,3.73051217077409e-06,52,0,12.90563318,0.0543761365882608,0.356117783175025
