Variant,ACC_mean,ACC_std,F1_mean,F1_std,NMI_mean,NMI_std,Iter_mean,Iter_std,Time_mean,Wdev_mean,Zdev_mean
Full,0.885559031353424,1.15857694056369e-05,0.881790657721901,1.24657920641219e-05,0.675140436145322,1.78676538100935e-05,84.8,7.39594483484024,39.69386354,0.0946468113741298,0.367935428714164
w/o learnW,0.83593629574938,0.113375442961217,0.817448844415709,0.143450363780203,0.656504266553581,0.0530889719236748,76.6,13.145341380124,36.95628278,0,0.368088023987033
w/o learnZ,0.872565592191761,1.24126707662364e-16,0.865712471886121,0,0.645532700444135,0,56,0,23.65475504,0.0791939823448554,0.353553390593274
w/o memory,0.885662657625275,2.60679811627078e-05,0.881849601550611,2.43229729707794e-05,0.675509315711712,3.81985811879109e-05,100,0,43.397789,0.0945223570447545,0.36793677908441
w/o adaptive p,0.885564212667017,1.24126707662364e-16,0.881796232593591,0,0.675148426803026,0,76.2,4.81663783151692,28.98980076,0.0946456559257224,0.367935323785278
w/o v,0.787927539329409,2.89644235143404e-06,0.747954109668493,4.40034492830303e-06,0.612166929445133,1.19626356765703e-06,89,14.6287388383278,38.55019542,0.017270631897093,0.373291828224164
w/o kernel,0.885353074138121,0.000118948251330503,0.881607314984638,0.000126388588760769,0.674753209245541,0.000131312869408931,56.2,9.39148550549912,13.48438134,0.0954204450249478,0.368413647230919
