Variant,ACC_mean,ACC_std,F1_mean,F1_std,NMI_mean,NMI_std,Iter_mean,Iter_std,Time_mean,Wdev_mean,Zdev_mean
Full,0.915389149034009,0,0.638239657946879,0,0.709007679404808,0,98.2,2.48997991959775,41.7208946,0.0886250518322625,0.389373963253977
w/o learnW,0.914495372439298,0,0.63772644721672,0,0.708886561275732,0,94.2,5.40370243444252,36.99272788,0,0.39419908711966
w/o learnZ,0.906703972124533,0,0.611643322983233,0,0.696194083949145,0,57,0,24.0554706,0.0538254431416371,0.353553390593274
w/o memory,0.920194817391079,0,0.615173124313446,0,0.702430748667179,0,100,0,43.24024394,0.406660704771666,0.393374881403334
w/o adaptive p,0.915383967720416,2.89644235138439e-06,0.638233863430779,3.23923297438306e-06,0.709002878256652,2.68392341172685e-06,90.4,8.61974477580398,34.52716222,0.0886180439029911,0.38937120313225
w/o v,0.916878776691861,3.36536189707732e-05,0.615621501487722,1.95899230783923e-05,0.692953609753812,2.78847976700192e-05,63.2,6.37965516309463,28.26745354,0.0525917051100047,0.378929946653142
w/o kernel,0.915553655740572,5.31321540715299e-05,0.638530180540534,0.000165310371636641,0.709276746824906,0.000115681022066973,53.8,2.68328157299975,13.1432427,0.0885655525152258,0.389616514297836
