Variant,ACC_mean,ACC_std,F1_mean,F1_std,NMI_mean,NMI_std,Iter_mean,Iter_std,Time_mean,Wdev_mean,Zdev_mean
Full,0.810577651699147,1.24126707662364e-16,0.880392597893876,0,0.229541587083228,3.10316769155909e-17,63.2,0.836660026534076,19.02437148,0.00373768973629054,0.291304986518893
w/o learnW,0.811432568441914,0,0.881011251108559,0,0.230150646398233,3.10316769155909e-17,62.6,0.894427190999916,17.45428552,0,0.291298608923762
w/o learnZ,0.819852203029773,0,0.886687225782272,0,0.247543447704618,0,53,0,15.25322748,0.00905234075032667,0.288675134594813
w/o memory,0.81060355826711,0,0.880410912407117,0,0.229572169864897,0,52,0,16.15321148,0.00370525638048721,0.291305181541707
w/o adaptive p,0.810577651699147,1.24126707662364e-16,0.880392597893876,0,0.229541587083228,3.10316769155909e-17,62.6,0.894427190999916,15.85065052,0.00373742616798449,0.291304985486141
w/o v,0.874566874566874,1.24126707662364e-16,0.923931358724897,0,0.323576847337077,0,88.6,2.30217288664427,25.28271608,0.00160019550173626,0.291556033014647
w/o kernel,0.810590604983128,0,0.880400777016665,1.24126707662364e-16,0.229583748637612,0,52,0,8.45919162,0.00372067598169778,0.291391117162475
