Variant,ACC_mean,ACC_std,F1_mean,F1_std,NMI_mean,NMI_std,Iter_mean,Iter_std,Time_mean,Wdev_mean,Zdev_mean
Full,0.784734554828013,7.09480583027885e-06,0.613800742538905,1.32141492192238e-05,0.733817174622732,2.94587996094695e-05,90,19.1833260932509,43.238752,0.0260277343329814,0.439842937366663
w/o learnW,0.784756575410781,2.21535241047515e-05,0.614653680858552,1.0417904769826e-05,0.734398128094927,5.90538225503565e-06,92.2,13.8636214604987,35.84521082,0,0.44004020597282
w/o learnZ,0.775137466726252,0,0.616148204086769,0,0.72253003596801,0,54,0,22.85074722,0.0345588470697508,0.353553390593274
w/o memory,0.719321766050738,0,0.586289173205896,0,0.723865395714011,0,100,0,42.99920872,0.350143029317034,0.439301014693719
w/o adaptive p,0.784733259499615,5.79288470276878e-06,0.613796531306174,1.03325323532442e-05,0.733822659340308,3.04403684796353e-05,91.4,15.1591556493098,34.61780492,0.026005145337015,0.439839972391405
w/o v,0.904776523468112,0.0981567232345813,0.666921813055907,0.0428276634466805,0.817585196962446,0.0768559018984035,89,16.7332005306815,38.11716188,0.104977610959475,0.425950608376734
w/o kernel,0.784726782857624,8.66031419509176e-05,0.613786750269773,9.4410495384519e-05,0.733837694898334,3.83716237801846e-05,58.4,7.56967634711022,13.83368724,0.0261798012477189,0.439838036235313
