Variant,ACC_mean,ACC_std,F1_mean,F1_std,NMI_mean,NMI_std,Iter_mean,Iter_std,Time_mean,Wdev_mean,Zdev_mean
Full,0.96069325975868,0,0.942148760330578,0,0.785640493858448,0,95.8,2.38746727726266,28.70591238,0.121813849372577,0.308012525821127
w/o learnW,0.970557185510457,0,0.956021205789026,0,0.824881929371711,0,91.4,2.88097205817759,29.13991654,0,0.308304823165137
w/o learnZ,0.889469627787385,0,0.846785053776956,1.24126707662364e-16,0.519305686069518,0,52,0,17.21416044,0.110287692833313,0.288675134594813
w/o memory,0.96069325975868,0,0.942148760330578,0,0.785640493858448,0,93,0,33.09522512,0.121824337668871,0.308012753791423
w/o adaptive p,0.96069325975868,0,0.942148760330578,0,0.785640493858448,0,93.4,2.88097205817759,24.830826,0.121813844430013,0.308012516929569
w/o v,0.955667385573928,1.24126707662364e-16,0.935234508794671,1.24126707662364e-16,0.767275130281257,0,85.4,3.20936130717624,24.59469364,0.0653261702781544,0.312210889995882
w/o kernel,0.960669943847514,1.41896116606793e-05,0.942116430889581,1.96749149503248e-05,0.785551746012284,5.40086285007322e-05,52.4,0.894427190999916,8.3739976,0.123343203688256,0.307986129059373
