Variant,ACC_mean,ACC_std,F1_mean,F1_std,NMI_mean,NMI_std,Iter_mean,Iter_std,Time_mean,Wdev_mean,Zdev_mean
Full,0.967242440139636,0.0580345672643627,0.981465801355924,0.033347993954,0.731441385152728,0.253631358537154,93.8,13.8636214604987,28.8341106,0.229901931239259,0.290374181699382
w/o learnW,0.940262044934942,0.0702853124339221,0.966007937758816,0.0404317433387666,0.60347555447548,0.298043448833045,89.4,14.5189531303052,25.5149092,0,0.2904660208763
w/o learnZ,0.822743376014404,3.54740291520023e-06,0.896097042805478,2.29544303900452e-06,0.227213859094806,3.74539809365085e-06,52,0,15.15662104,0.00550441386382392,0.288675134594813
w/o memory,0.969083101793382,0.0539006210682633,0.98259572589909,0.0308121858357582,0.734334943601146,0.246912326701264,92.6,16.5469030334984,27.3663007,0.213798392678767,0.290395959964242
w/o adaptive p,0.825739470599284,0.0279767605119016,0.897808011913228,0.0184300973471944,0.231263847005538,0.0273265356399586,30.2,15.4499190936393,7.83406612,0.00135620324255612,0.290206457585259
w/o v,0.992383469018983,0,0.995943764572785,1.24126707662364e-16,0.830367352977866,0,60.6,3.04959013639538,19.04696162,0.105717510325461,0.290478547044578
w/o kernel,0.993191753939417,2.89644235138439e-06,0.996377056342587,1.54690165697684e-06,0.844782661207196,5.49889890924042e-05,97.8,2.04939015319192,13.55578974,0.286996410241348,0.290351798264476
