Variant,ACC_mean,ACC_std,F1_mean,F1_std,NMI_mean,NMI_std,Iter_mean,Iter_std,Time_mean,Wdev_mean,Zdev_mean
Full,0.852701731206404,6.47664199066034e-06,0.860494889410224,7.82066671621872e-06,0.598379429658385,3.21037311977921e-05,75.2,2.38746727726266,32.7707886,0.00455023066649168,0.373386973129897
w/o learnW,0.852320904657353,8.44450800860858e-06,0.86014925538551,4.24409944987851e-06,0.597462965450031,1.69239707982319e-05,76.6,6.94982014155762,30.74857566,0,0.373394258329491
w/o learnZ,0.85893226080142,1.24126707662364e-16,0.863686430527954,0,0.609047258318965,0,54,0,23.13479362,0.0084824889730732,0.353553390593274
w/o memory,0.852701731206404,0,0.860493916217259,0,0.598367054143431,0,93,0,39.91275798,0.00458445157706777,0.373387993339461
w/o adaptive p,0.852701731206404,4.57967747091346e-06,0.860495017491291,4.80694955912468e-06,0.598383750713838,1.9379691852859e-05,76.6,1.81659021245849,29.17568346,0.00453384102311878,0.373387433323995
w/o v,0.905959158295607,1.88824939438092e-05,0.90658059677042,2.00853189207226e-05,0.681276942277739,4.15774528848357e-05,100,0,44.24488352,0.0328617337288849,0.373884420021804
w/o kernel,0.85258644697897,7.09480583035993e-06,0.860385511801137,1.0081080160549e-05,0.598073948901486,2.77402985304992e-05,52.6,0.894427190999916,13.19612312,0.00446248968576615,0.373727374168073
