Variant,ACC_mean,ACC_std,F1_mean,F1_std,NMI_mean,NMI_std,Iter_mean,Iter_std,Time_mean,Wdev_mean,Zdev_mean
Full,0.978957390172343,0,0.984826053045765,1.24126707662364e-16,0.845833493405654,1.24126707662364e-16,70.2,0.447213595499958,20.65144104,0.0671669277045957,0.298523599565084
w/o learnW,0.981314887856944,0,0.986570839403997,1.24126707662364e-16,0.855730500352766,1.24126707662364e-16,55.4,4.27784992724149,15.65384392,0,0.298884283849122
w/o learnZ,0.97637968666006,1.24126707662364e-16,0.983221152297833,1.24126707662364e-16,0.821074125791286,0,52,0,14.7968581,0.0732012667133911,0.288675134594813
w/o memory,0.978957390172343,0,0.984826053045765,1.24126707662364e-16,0.845833493405654,1.24126707662364e-16,100,0,28.2897697,0.067100753248442,0.2985235260741
w/o adaptive p,0.978957390172343,0,0.984826053045765,1.24126707662364e-16,0.845833493405654,1.24126707662364e-16,55.8,5.16720427310553,14.17489656,0.0671660419777566,0.29852357324538
w/o v,0.981833019216197,0,0.986989976948373,1.24126707662364e-16,0.855308179783447,0,57.8,2.68328157299975,17.2800332,0.0078420917986151,0.298071148544739
w/o kernel,0.978952208858751,2.89644235138439e-06,0.984822260058984,2.12034406987791e-06,0.845806617021409,1.50243555401015e-05,52,0,8.3998858,0.0678310162235313,0.298531913726692
